track_id,track_popularity_sum,track_popularity_avg,track_popularity_min,track_popularity_max,track_popularity_count,artist_followers_sum,artist_followers_avg,artist_followers_min,artist_followers_max,artist_followers_count
7kAFSrTIOiVZ0gnHBuAH3l,63,63.0,63,63,1,3743667,3743667.0,3743667,3743667,1
5EBoNoVE7BoGQ7Hfd2uGUR,0,0.0,0,0,1,30714318,3.0714318E7,30714318,30714318,1
6tZdL3Zp8JgrfDbsSeSV1S,71,71.0,71,71,1,2816087,2816087.0,2816087,2816087,1
4vcDr56fq4Jjxpegx3XPnv,62,62.0,62,62,1,42275793,4.2275793E7,42275793,42275793,1
7gKxZWOgCAbuAGg1Wba4i9,48,48.0,48,48,1,491,491.0,491,491,1
0bxPRWprUVpQK0UFcddkrA,88,88.0,88,88,1,8661889,8661889.0,8661889,8661889,1
009mbur8TQQ0kvfJMXoVas,3,3.0,3,3,1,146944,146944.0,146944,146944,1
0CRvTAUyG3WOb3DIelsJ12,71,71.0,71,71,1,2795852,2795852.0,2795852,2795852,1
3iPIDAFybaoyqX7hvAfWkl,72,72.0,72,72,1,26559943,2.6559943E7,26559943,26559943,1
0K8sKuo6xLHZgySZmmw2rV,58,58.0,58,58,1,38400585,3.8400585E7,38400585,38400585,1
1bjeWoagtHmUKputLVyDxQ,77,77.0,77,77,1,33043825,3.3043825E7,33043825,33043825,1
1hFmDg5nxATVqQL1Viaed2,40,40.0,40,40,1,4083,4083.0,4083,4083,1
0nuszfz2u3hjdCDaNhc4m2,39,39.0,39,39,1,9839947,9839947.0,9839947,9839947,1
3O0WP95w6trTVFcNUC9oMw,48,48.0,48,48,1,1894,1894.0,1894,1894,1
1UPB5rYJ0bzn6mNSoAHrZC,83,83.0,83,83,1,8642338,8642338.0,8642338,8642338,1
5xwBIieMMFUmLDgvG4DjFe,70,70.0,70,70,1,189019,189019.0,189019,189019,1
57HMPC2XM3UKQ0KFfwRTKZ,33,33.0,33,33,1,363,363.0,363,363,1
2fmyrECK6bdfoGven0UMZx,71,71.0,71,71,1,20854863,2.0854863E7,20854863,20854863,1
696DnlkuDOXcMAnKlTgXXK,74,74.0,74,74,1,817341,817341.0,817341,817341,1
5IR4eSVnuXPu8pJtQuzC5I,34,34.0,34,34,1,53245,53245.0,53245,53245,1
5lw8Mgb4LyhriPIC86gV6e,65,65.0,65,65,1,2109909,2109909.0,2109909,2109909,1
0p0jvYdazuWBMC8QacxpUH,49,49.0,49,49,1,10342615,1.0342615E7,10342615,10342615,1
0nUftNWYvNCWnjiyeujCR8,57,57.0,57,57,1,81189603,8.1189603E7,81189603,81189603,1
6nO3tr47nr2P7f3hXb8JIo,63,63.0,63,63,1,3563926,3563926.0,3563926,3563926,1
2k7PGVIRIqdilhTn1Z0XsO,43,43.0,43,43,1,61399,61399.0,61399,61399,1
5zytSTR2g0I9psX2Z12ex6,24,24.0,24,24,1,145443567,1.45443567E8,145443567,145443567,1
75riiKSuZZPY1l6yNVZPcd,0,0.0,0,0,1,1965,1965.0,1965,1965,1
7JEzAlwHhCD2M1cYE6BeqJ,77,77.0,77,77,1,12552680,1.255268E7,12552680,12552680,1
1eMVXXpNPEUdFRy5ZH7FpM,62,62.0,62,62,1,1819211,1819211.0,1819211,1819211,1
0o9ivTBX7mjTnaUYF4Gk6t,57,57.0,57,57,1,344334,344334.0,344334,344334,1
6uBYwDurQJm3YQkYxSG5fO,21,21.0,21,21,1,39798156,3.9798156E7,39798156,39798156,1
3nB82yGjtbQFSU0JLAwLRH,56,56.0,56,56,1,15826961,1.5826961E7,15826961,15826961,1
3A0NjZwttWVJ2iBBL2jgy2,0,0.0,0,0,1,40270893,4.0270893E7,40270893,40270893,1
3tPo4KskHgUvu4OKCXAkhC,51,51.0,51,51,1,1552159,1552159.0,1552159,1552159,1
6Wx88Mv6b9ofjKMKkdwOJd,71,71.0,71,71,1,31806929,3.1806929E7,31806929,31806929,1
1hQMzVXdoDZXcO16GOhWc5,56,56.0,56,56,1,218503,218503.0,218503,218503,1
24y3tSyLdRbpVsKhQrR2oj,44,44.0,44,44,1,10961237,1.0961237E7,10961237,10961237,1
1Je1IMUlBXcx1Fz0WE7oPT,80,80.0,80,80,1,4243040,4243040.0,4243040,4243040,1
1fYypIR0kaFzaSRbzvtjl9,62,62.0,62,62,1,5043722,5043722.0,5043722,5043722,1
1LeWIs2hP2r5yOQnVuYoI5,1,1.0,1,1,1,5977021,5977021.0,5977021,5977021,1
